icao_code,airline_name,origin_destination,arrival_departure,scheduled_charter,average_delay_mins,station,retrieved_at,visibility,wind_speed,temperature,dewpoint,flight_rules,low_visibility_flag,strong_wind_flag,ifr_flag,temp_dewpoint_delta,fog_risk_flag,total_flights,delayed_flights,weather_delay_mins,carrier_delay_mins,nas_delay_mins,security_delay_mins,late_aircraft_delay_mins,year,month,data_source
EGLL,British Airways,Departure,Arrival,Scheduled,2.601795468963023,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,British Airways,Arrival,Arrival,Scheduled,8.16811796659848,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,British Airways,Arrival,Arrival,Scheduled,9.974792866313848,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,British Airways,Arrival,Arrival,Scheduled,7.075011595860604,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,British Airways,Departure,Departure,Scheduled,8.664803016853883,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Virgin Atlantic,Departure,Departure,Scheduled,8.211075550984587,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Virgin Atlantic,Arrival,Departure,Charter,7.895041709841061,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Virgin Atlantic,Departure,Arrival,Scheduled,8.780978611234266,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Virgin Atlantic,Departure,Departure,Scheduled,9.216792920678186,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Virgin Atlantic,Departure,Departure,Scheduled,6.773161304868199,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,EasyJet,Departure,Departure,Scheduled,8.147794939016318,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,EasyJet,Arrival,Departure,Scheduled,10.529340244724096,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,EasyJet,Departure,Departure,Scheduled,13.652740799923397,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,EasyJet,Arrival,Arrival,Charter,8.014981179811262,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,EasyJet,Departure,Departure,Scheduled,8.031060464963494,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Ryanair,Arrival,Departure,Scheduled,6.714522640884102,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Ryanair,Arrival,Departure,Scheduled,20.37832850041199,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Ryanair,Arrival,Arrival,Scheduled,4.067750725083943,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Ryanair,Departure,Arrival,Scheduled,5.612862995337997,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Ryanair,Departure,Departure,Scheduled,17.093784848508307,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Jet2,Departure,Arrival,Charter,15.131771992591949,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Jet2,Arrival,Arrival,Scheduled,7.788695066833894,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Jet2,Departure,Departure,Scheduled,11.447938628104982,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Jet2,Departure,Arrival,Scheduled,15.923616898837118,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,Jet2,Arrival,Arrival,Scheduled,9.695381169986728,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,TUI Airways,Departure,Departure,Scheduled,0.0,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,TUI Airways,Departure,Departure,Scheduled,0.8990719445342519,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,TUI Airways,Arrival,Departure,Charter,5.7782653945126725,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,TUI Airways,Departure,Arrival,Scheduled,1.925985764441516,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGLL,TUI Airways,Departure,Departure,Scheduled,9.392085756714469,EGLL,2025-06-21T11:30:24.648953,9999.0,11.0,30.0,14.0,VFR,False,False,False,16.0,False,,,,,,,,,,
EGKK,British Airways,Arrival,Departure,Scheduled,4.2573225035840405,EGKK,2025-06-21T11:30:25.254786,9999.0,10.0,29.0,14.0,VFR,False,False,False,15.0,False,,,,,,,,,,
