DATE,ARR_PUN_DY,DEP_PUN_DY,day_of_week,month,week,LHR_ARR_DELAY_MIN,LHR_DEP_DELAY_MIN
2018-01-01,0.869174434087883,0.81563981042654,0,1,1,13.082556591211702,18.436018957346
2018-01-02,0.772376172812568,0.716193293027706,1,1,1,22.7623827187432,28.380670697229405
2018-01-03,0.671070309001343,0.625016818406063,2,1,1,32.892969099865695,37.4983181593937
2018-01-04,0.773054978106064,0.724760892667375,3,1,1,22.694502189393596,27.523910733262504
2018-01-05,0.786025072157843,0.732076770806438,4,1,1,21.3974927842157,26.792322919356202
2018-01-06,0.781922596754057,0.698943486494568,5,1,1,21.807740324594306,30.105651350543205
2018-01-07,0.744421460323049,0.6785226922569,6,1,1,25.5578539676951,32.14773077431
2018-01-08,0.793219329589927,0.73555479802284,0,1,2,20.678067041007296,26.444520197716002
2018-01-09,0.840193263138703,0.79894276339774,1,1,2,15.980673686129698,20.105723660226005
2018-01-10,0.846979926593865,0.805001812250815,2,1,2,15.3020073406135,19.4998187749185
2018-01-11,0.837271727172717,0.783438651922064,3,1,2,16.272827282728297,21.656134807793602
2018-01-12,0.854378265412748,0.802940190986765,4,1,2,14.562173458725203,19.705980901323507
2018-01-13,0.840456144090376,0.788067486295173,5,1,2,15.954385590962406,21.193251370482702
2018-01-14,0.858964981256286,0.805507272893605,6,1,2,14.103501874371405,19.449272710639498
2018-01-15,0.798646655677973,0.762519561815336,0,1,3,20.1353344322027,23.748043818466403
2018-01-16,0.765414099609651,0.733914272256241,1,1,3,23.4585900390349,26.608572774375904
2018-01-17,0.681394498766335,0.65864592863678,2,1,3,31.860550123366504,34.135407136322
2018-01-18,0.69071276257883,0.670699228095517,3,1,3,30.928723742117004,32.9300771904483
2018-01-19,0.772323869610936,0.735010729162284,4,1,3,22.767613038906397,26.498927083771594
2018-01-20,0.780994167692225,0.733753740914921,5,1,3,21.900583230777503,26.624625908507905
2018-01-21,0.749483826565726,0.714056335443618,6,1,3,25.051617343427402,28.5943664556382
2018-01-22,0.788623141564318,0.754143765958367,0,1,4,21.1376858435682,24.585623404163304
2018-01-23,0.861295069904341,0.834215005290032,1,1,4,13.870493009565898,16.5784994709968
2018-01-24,0.80590545848571,0.784582034954613,2,1,4,19.409454151428996,21.541796504538702
2018-01-25,0.844891224108732,0.81746751284376,3,1,4,15.510877589126803,18.253248715624004
2018-01-26,0.827429796709414,0.779018780507984,4,1,4,17.257020329058605,22.098121949201598
2018-01-27,0.813331913534235,0.772893967579059,5,1,4,18.666808646576506,22.710603242094095
2018-01-28,0.85,0.812228670657588,6,1,4,15.000000000000002,18.7771329342412
2018-01-29,0.835999485354033,0.802380031791038,0,1,5,16.4000514645967,19.7619968208962
2018-01-30,0.861586031284103,0.82638193242874,1,1,5,13.841396871589694,17.361806757125997
2018-01-31,0.82666726185162,0.798321578430497,2,1,5,17.333273814838,20.1678421569503
2018-02-01,0.807610719078748,0.773117213432771,3,2,5,19.238928092125196,22.688278656722904
2018-02-02,0.790773149289294,0.743359551949924,4,2,5,20.922685071070603,25.664044805007602
2018-02-03,0.795258166491043,0.739153300026295,5,2,5,20.474183350895704,26.0846699973705
2018-02-04,0.763337707588579,0.719237905598045,6,2,5,23.6662292411421,28.0762094401955
2018-02-05,0.776178512115147,0.727866473149492,0,2,6,22.382148788485303,27.213352685050797
2018-02-06,0.807279045311142,0.757294004488618,1,2,6,19.272095468885798,24.270599551138194
2018-02-07,0.784469525959368,0.735716868559031,2,2,6,21.553047404063197,26.428313144096904
2018-02-08,0.793140269947036,0.746855345911949,3,2,6,20.685973005296397,25.3144654088051
2018-02-09,0.763295269168026,0.712845422262133,4,2,6,23.670473083197397,28.715457773786703
2018-02-10,0.773387942660207,0.716224983780007,5,2,6,22.661205733979294,28.3775016219993
2018-02-11,0.740553818669049,0.687846043936417,6,2,6,25.944618133095098,31.2153956063583
2018-02-12,0.784820896792308,0.737360388779947,0,2,7,21.517910320769197,26.2639611220053
2018-02-13,0.848142671506027,0.800448229493501,1,2,7,15.185732849397304,19.955177050649898
2018-02-14,0.822775460549183,0.77916829618042,2,2,7,17.722453945081696,22.083170381957995
2018-02-15,0.762706131078224,0.716284558327714,3,2,7,23.729386892177594,28.371544167228603
2018-02-16,0.810534369588853,0.749395356336665,4,2,7,18.946563041114693,25.060464366333502
2018-02-17,0.818406240742569,0.743583403392513,5,2,7,18.159375925743106,25.641659660748694
2018-02-18,0.819148470660307,0.748383149798986,6,2,7,18.085152933969294,25.161685020101398
2018-02-19,0.838409440312461,0.780834479596515,0,2,8,16.1590559687539,21.916552040348503
2018-02-20,0.869473406361357,0.824987910493691,1,2,8,13.052659363864304,17.501208950630897
2018-02-21,0.855402954133195,0.812535119948131,2,2,8,14.4597045866805,18.7464880051869
2018-02-22,0.82243543683165,0.773448348411529,3,2,8,17.756456316835,22.6551651588471
2018-02-23,0.798674964866493,0.731800458254612,4,2,8,20.1325035133507,26.819954174538797
2018-02-24,0.830291338972152,0.750320924261874,5,2,8,16.970866102784797,24.967907573812596
2018-02-25,0.779885563380282,0.708153561680021,6,2,8,22.011443661971796,29.184643831997903
2018-02-26,0.705566137566137,0.637446988973706,0,2,9,29.443386243386303,36.2553011026294
2018-02-27,0.744718780639986,0.676314261467685,1,2,9,25.5281219360014,32.368573853231496
2018-02-28,0.620843489858805,0.570692668567749,2,2,9,37.9156510141195,42.9307331432251
2018-03-01,0.569818351187704,0.519780832095097,3,3,9,43.0181648812296,48.0219167904903
2018-03-02,0.616810325577241,0.560872877178832,4,3,9,38.3189674422759,43.91271228211679
2018-03-03,0.588845721296391,0.529755552167505,5,3,9,41.1154278703609,47.0244447832495
2018-03-04,0.712958944536064,0.649501517121803,6,3,9,28.7041055463936,35.0498482878197
2018-03-05,0.774277574277574,0.733989142413976,0,3,10,22.572242572242594,26.601085758602405
2018-03-06,0.838492423261235,0.800267749179478,1,3,10,16.150757673876505,19.973225082052203
2018-03-07,0.833691122616492,0.790171409271299,2,3,10,16.630887738350797,20.9828590728701
